
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ea:agartha:olm_sage_2.png?30&nolink}}    | **Olm Sage**\ {{:misc:gui:gold.png?15&nolink}} 175\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ea:agartha:oracle_of_subterranean_fires.png?30&nolink}}    | **Oracle of Subterranean Fires**\ {{:misc:gui:gold.png?15&nolink}} 360\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ea:agartha:oracle_of_subterranean_waters.png?30&nolink}}    | **Oracle of Subterranean Waters**\ {{:misc:gui:gold.png?15&nolink}} 360\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ea:agartha:oracle_of_the_dead.png?30&nolink}}    | **Oracle of the Dead**\ {{:misc:gui:gold.png?15&nolink}} 360\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ea:agartha:pale_one_scout_2.png?30&nolink}}    | **Pale One Scout**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 7   |  | cmdr (cave)  |  Manual description here.  |
| {{:nations:ea:agartha:pale_one_commander_2.png?30&nolink}}    | **Pale One Commander**\ {{:misc:gui:gold.png?15&nolink}} 35\ {{:misc:gui:resources.png?15&nolink}} 19   |  | cmdr (cave)  |  Manual description here.  |
| {{:nations:ea:agartha:engraver_2.png?30&nolink}}    | **Engraver**\ {{:misc:gui:gold.png?15&nolink}} 70\ {{:misc:gui:resources.png?15&nolink}} 4   |  | cmdr (cave)  |  Manual description here.  |
| {{:nations:ea:agartha:olm_sage.png?30&nolink}}    | **Olm Sage**\ {{:misc:gui:gold.png?15&nolink}} 175\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cave)  |  Manual description here.  |
| {{:nations:ea:agartha:wet_one_captain.png?30&nolink}}    | **Wet One Captain**\ {{:misc:gui:gold.png?15&nolink}} 35\ {{:misc:gui:resources.png?15&nolink}} 7   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:ea:agartha:pale_one_scout.png?30&nolink}}    | **Pale One Scout**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 7   |  | commander  |  Manual description here.  |
| {{:nations:ea:agartha:pale_one_commander.png?30&nolink}}    | **Pale One Commander**\ {{:misc:gui:gold.png?15&nolink}} 35\ {{:misc:gui:resources.png?15&nolink}} 19   |  | commander  |  Manual description here.  |
| {{:nations:ea:agartha:troglodyte_lord.png?30&nolink}}    | **Troglodyte Lord**\ {{:misc:gui:gold.png?15&nolink}} 65\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:ea:agartha:engraver.png?30&nolink}}    | **Engraver**\ {{:misc:gui:gold.png?15&nolink}} 70\ {{:misc:gui:resources.png?15&nolink}} 4   |  | commander  |  Manual description here.  |
| {{:nations:ea:agartha:ancient_lord.png?30&nolink}}    | **Ancient Lord**\ {{:misc:gui:gold.png?15&nolink}} 125\ {{:misc:gui:resources.png?15&nolink}} 21   |  | commander  |  Manual description here.  |
| {{:nations:ea:agartha:earth_reader.png?30&nolink}}    | **Earth Reader**\ {{:misc:gui:gold.png?15&nolink}} 185\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:ea:agartha:pale_one_militia.png?30&nolink}}    | **Pale One Militia**\ {{:misc:gui:gold.png?15&nolink}} 6\ {{:misc:gui:resources.png?15&nolink}} 2   |  | unit  |  Manual description here.  |
| {{:nations:ea:agartha:pale_one_warrior.png?30&nolink}}    | **Pale One Warrior**\ {{:misc:gui:gold.png?15&nolink}} 9\ {{:misc:gui:resources.png?15&nolink}} 19   |  | unit  |  Manual description here.  |
| {{:nations:ea:agartha:pale_one_warrior_2.png?30&nolink}}    | **Pale One Warrior**\ {{:misc:gui:gold.png?15&nolink}} 9\ {{:misc:gui:resources.png?15&nolink}} 11   |  | unit  |  Manual description here.  |
| {{:nations:ea:agartha:wet_one.png?30&nolink}}    | **Wet One**\ {{:misc:gui:gold.png?15&nolink}} 9\ {{:misc:gui:resources.png?15&nolink}} 1   |  | unit  |  Manual description here.  |
| {{:nations:ea:agartha:cavern_guard.png?30&nolink}}    | **Cavern Guard**\ {{:misc:gui:gold.png?15&nolink}} 12\ {{:misc:gui:resources.png?15&nolink}} 23   |  | unit  |  Manual description here.  |
