
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:erytheia:prince_of_the_setting_sun.png?30&nolink}}    | **Prince of the Setting Sun**\ {{:misc:gui:gold.png?15&nolink}} 210\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:la:erytheia:princess_of_the_setting_sun.png?30&nolink}}    | **Princess of the Setting Sun**\ {{:misc:gui:gold.png?15&nolink}} 210\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:la:erytheia:erytheian_commander_2.png?30&nolink}}    | **Erytheian Commander**\ {{:misc:gui:gold.png?15&nolink}} 70\ {{:misc:gui:resources.png?15&nolink}} 31   |  | cmdr (coast)  |  Manual description here.  |
| {{:nations:la:erytheia:mermage_2.png?30&nolink}}    | **Mermage**\ {{:misc:gui:gold.png?15&nolink}} 95\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (coast)  |  Manual description here.  |
| {{:nations:la:erytheia:daduchos_2.png?30&nolink}}    | **Daduchos**\ {{:misc:gui:gold.png?15&nolink}} 135\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (coast)  |  Manual description here.  |
| {{:nations:la:erytheia:erytheian_scout.png?30&nolink}}    | **Erytheian Scout**\ {{:misc:gui:gold.png?15&nolink}} 25\ {{:misc:gui:resources.png?15&nolink}} 6   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:erytheia:triton_priest.png?30&nolink}}    | **Triton Priest**\ {{:misc:gui:gold.png?15&nolink}} 65\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:erytheia:erytheian_commander.png?30&nolink}}    | **Erytheian Commander**\ {{:misc:gui:gold.png?15&nolink}} 70\ {{:misc:gui:resources.png?15&nolink}} 31   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:erytheia:mermage.png?30&nolink}}    | **Mermage**\ {{:misc:gui:gold.png?15&nolink}} 95\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:erytheia:triton_noble.png?30&nolink}}    | **Triton Noble**\ {{:misc:gui:gold.png?15&nolink}} 110\ {{:misc:gui:resources.png?15&nolink}} 32   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:erytheia:daduchos.png?30&nolink}}    | **Daduchos**\ {{:misc:gui:gold.png?15&nolink}} 135\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:erytheia:pearl_mage.png?30&nolink}}    | **Pearl Mage**\ {{:misc:gui:gold.png?15&nolink}} 175\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:erytheia:erytheian_scout_2.png?30&nolink}}    | **Erytheian Scout**\ {{:misc:gui:gold.png?15&nolink}} 25\ {{:misc:gui:resources.png?15&nolink}} 6   |  | commander  |  Manual description here.  |
| {{:nations:la:erytheia:machimos_commander.png?30&nolink}}    | **Machimos Commander**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 16   |  | commander  |  Manual description here.  |
