
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:jomon:shugenja_2.png?30&nolink}}    | **Shugenja**\ {{:misc:gui:gold.png?15&nolink}} 95\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:la:jomon:master_shugenja_2.png?30&nolink}}    | **Master Shugenja**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:la:jomon:crab_general.png?30&nolink}}    | **Crab General**\ {{:misc:gui:gold.png?15&nolink}} 50\ {{:misc:gui:resources.png?15&nolink}} 29   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:jomon:ryujin.png?30&nolink}}    | **Ryujin**\ {{:misc:gui:gold.png?15&nolink}} 285\ {{:misc:gui:resources.png?15&nolink}} 7   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:la:jomon:gokenin.png?30&nolink}}    | **Gokenin**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 26   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:mounted_gokenin.png?30&nolink}}    | **Mounted Gokenin**\ {{:misc:gui:gold.png?15&nolink}} 50\ {{:misc:gui:resources.png?15&nolink}} 28   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:ninja.png?30&nolink}}    | **Ninja**\ {{:misc:gui:gold.png?15&nolink}} 60\ {{:misc:gui:resources.png?15&nolink}} 14   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:kannushi.png?30&nolink}}    | **Kannushi**\ {{:misc:gui:gold.png?15&nolink}} 70\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:monk_of_the_fivefold_path.png?30&nolink}}    | **Monk of the Fivefold Path**\ {{:misc:gui:gold.png?15&nolink}} 70\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:hatamoto.png?30&nolink}}    | **Hatamoto**\ {{:misc:gui:gold.png?15&nolink}} 80\ {{:misc:gui:resources.png?15&nolink}} 28   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:shugenja.png?30&nolink}}    | **Shugenja**\ {{:misc:gui:gold.png?15&nolink}} 95\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:daimyo.png?30&nolink}}    | **Daimyo**\ {{:misc:gui:gold.png?15&nolink}} 120\ {{:misc:gui:resources.png?15&nolink}} 26   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:onmyo-ji.png?30&nolink}}    | **Onmyo-ji**\ {{:misc:gui:gold.png?15&nolink}} 145\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:master_shugenja.png?30&nolink}}    | **Master Shugenja**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:la:jomon:ashigaru.png?30&nolink}}    | **Ashigaru**\ {{:misc:gui:gold.png?15&nolink}} 8\ {{:misc:gui:resources.png?15&nolink}} 11   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:samurai.png?30&nolink}}    | **Samurai**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 19   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:samurai_2.png?30&nolink}}    | **Samurai**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 22   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:samurai_archer.png?30&nolink}}    | **Samurai Archer**\ {{:misc:gui:gold.png?15&nolink}} 11\ {{:misc:gui:resources.png?15&nolink}} 25   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:o-ban.png?30&nolink}}    | **O-ban**\ {{:misc:gui:gold.png?15&nolink}} 12\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:go-hatamoto.png?30&nolink}}    | **Go-Hatamoto**\ {{:misc:gui:gold.png?15&nolink}} 14\ {{:misc:gui:resources.png?15&nolink}} 25   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:aka-oni_samurai.png?30&nolink}}    | **Aka-Oni Samurai**\ {{:misc:gui:gold.png?15&nolink}} 15\ {{:misc:gui:resources.png?15&nolink}} 22   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:samurai_cavalry.png?30&nolink}}    | **Samurai Cavalry**\ {{:misc:gui:gold.png?15&nolink}} 35\ {{:misc:gui:resources.png?15&nolink}} 28   |  | unit  |  Manual description here.  |
| {{:nations:la:jomon:sohei.png?30&nolink}}    | **Sohei**\ {{:misc:gui:gold.png?15&nolink}} 19\ {{:misc:gui:resources.png?15&nolink}} 19   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:la:jomon:yamabushi.png?30&nolink}}    | **Yamabushi**\ {{:misc:gui:gold.png?15&nolink}} 19\ {{:misc:gui:resources.png?15&nolink}} 22   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:la:jomon:shrimp_soldier.png?30&nolink}}    | **Shrimp Soldier**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 20   |  | unit (u-water)  |  Manual description here.  |
| {{:nations:la:jomon:shark_warrior.png?30&nolink}}    | **Shark Warrior**\ {{:misc:gui:gold.png?15&nolink}} 45\ {{:misc:gui:resources.png?15&nolink}} 33   |  | unit (u-water)  |  Manual description here.  |

==== Summons ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:jomon:bakeneko.png?30&nolink}}    | **Bakeneko**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:bakeneko_2.png?30&nolink}}    | **Bakeneko**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:dai_tengu.png?30&nolink}}    | **Dai Tengu**  |  | cmdr (Summon)  |  Manual description here.  |
