
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:ind:bishop_general.png?30&nolink}}    | **Bishop General**\ {{:misc:gui:gold.png?15&nolink}} 115\ {{:misc:gui:resources.png?15&nolink}} 15   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:archbishop_marshal.png?30&nolink}}    | **Archbishop Marshal**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 15   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:primate_king.png?30&nolink}}    | **Primate King**\ {{:misc:gui:gold.png?15&nolink}} 200\ {{:misc:gui:resources.png?15&nolink}} 20   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:abbot_magus.png?30&nolink}}    | **Abbot Magus**\ {{:misc:gui:gold.png?15&nolink}} 240\ {{:misc:gui:resources.png?15&nolink}} 18   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:abbot_magus_supreme.png?30&nolink}}    | **Abbot Magus Supreme**\ {{:misc:gui:gold.png?15&nolink}} 335\ {{:misc:gui:resources.png?15&nolink}} 18   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:cannibal_warlord.png?30&nolink}}    | **Cannibal Warlord**\ {{:misc:gui:gold.png?15&nolink}} 45\ {{:misc:gui:resources.png?15&nolink}} 8   |  | cmdr (foreign)  |  Manual description here.  |
| {{:nations:ma:ind:cannibal_shaman_chief.png?30&nolink}}    | **Cannibal Shaman Chief**\ {{:misc:gui:gold.png?15&nolink}} 100\ {{:misc:gui:resources.png?15&nolink}} 5   |  | cmdr (foreign)  |  Manual description here.  |
| {{:nations:ma:ind:bishop_vicomte.png?30&nolink}}    | **Bishop Vicomte**\ {{:misc:gui:gold.png?15&nolink}} 115\ {{:misc:gui:resources.png?15&nolink}} 3   |  | cmdr (foreign)  |  Manual description here.  |
| {{:nations:ma:ind:viceroy_primate.png?30&nolink}}    | **Viceroy Primate**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 8   |  | cmdr (foreign)  |  Manual description here.  |
| {{:nations:ma:ind:great_huntress.png?30&nolink}}    | **Great Huntress**\ {{:misc:gui:gold.png?15&nolink}} 50\ {{:misc:gui:resources.png?15&nolink}} 5   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:ind:orionde_king.png?30&nolink}}    | **Orionde King**\ {{:misc:gui:gold.png?15&nolink}} 130\ {{:misc:gui:resources.png?15&nolink}} 38   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:ind:cynocephalian_chieftain.png?30&nolink}}    | **Cynocephalian Chieftain**\ {{:misc:gui:gold.png?15&nolink}} 55\ {{:misc:gui:resources.png?15&nolink}} 14   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:cynocephalian_shaman.png?30&nolink}}    | **Cynocephalian Shaman**\ {{:misc:gui:gold.png?15&nolink}} 65\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:bishop_vicomte_2.png?30&nolink}}    | **Bishop Vicomte**\ {{:misc:gui:gold.png?15&nolink}} 115\ {{:misc:gui:resources.png?15&nolink}} 3   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:gog_dog-father.png?30&nolink}}    | **Gog Dog-Father**\ {{:misc:gui:gold.png?15&nolink}} 130\ {{:misc:gui:resources.png?15&nolink}} 16   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:viceroy_primate_2.png?30&nolink}}    | **Viceroy Primate**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 8   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:magog_bitch-mother.png?30&nolink}}    | **Magog Bitch-Mother**\ {{:misc:gui:gold.png?15&nolink}} 225\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:piconye_king.png?30&nolink}}    | **Piconye King**\ {{:misc:gui:gold.png?15&nolink}} 45\ {{:misc:gui:resources.png?15&nolink}} 10   |  | cmdr (plains)  |  Manual description here.  |
| {{:nations:ma:ind:piconye_scholar.png?30&nolink}}    | **Piconye Scholar**\ {{:misc:gui:gold.png?15&nolink}} 80\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (plains)  |  Manual description here.  |
| {{:nations:ma:ind:feminie_queen.png?30&nolink}}    | **Feminie Queen**\ {{:misc:gui:gold.png?15&nolink}} 140\ {{:misc:gui:resources.png?15&nolink}} 44   |  | cmdr (plains)  |  Manual description here.  |
| {{:nations:ma:ind:feminie_sorceress.png?30&nolink}}    | **Feminie Sorceress**\ {{:misc:gui:gold.png?15&nolink}} 145\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (plains)  |  Manual description here.  |
| {{:nations:ma:ind:king_of_the_lost_tribe.png?30&nolink}}    | **King of the Lost Tribe**\ {{:misc:gui:gold.png?15&nolink}} 195\ {{:misc:gui:resources.png?15&nolink}} 101   |  | cmdr (waste)  |  Manual description here.  |
| {{:nations:ma:ind:abbot_sage.png?30&nolink}}    | **Abbot Sage**\ {{:misc:gui:gold.png?15&nolink}} 110\ {{:misc:gui:resources.png?15&nolink}} 11   |  | commander  |  Manual description here.  |
| {{:nations:ma:ind:archer_priest.png?30&nolink}}    | **Archer Priest**\ {{:misc:gui:gold.png?15&nolink}} 13\ {{:misc:gui:resources.png?15&nolink}} 4   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:soldier_priest.png?30&nolink}}    | **Soldier Priest**\ {{:misc:gui:gold.png?15&nolink}} 15\ {{:misc:gui:resources.png?15&nolink}} 18   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:baculite.png?30&nolink}}    | **Baculite**\ {{:misc:gui:gold.png?15&nolink}} 19\ {{:misc:gui:resources.png?15&nolink}} 14   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:mirror_guard.png?30&nolink}}    | **Mirror Guard**\ {{:misc:gui:gold.png?15&nolink}} 19\ {{:misc:gui:resources.png?15&nolink}} 21   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:satyr_slave.png?30&nolink}}    | **Satyr Slave**\ {{:misc:gui:gold.png?15&nolink}} 7\ {{:misc:gui:resources.png?15&nolink}} 3   |  | unit (forest)  |  Manual description here.  |
| {{:nations:ma:ind:orionde_crossbowman.png?30&nolink}}    | **Orionde Crossbowman**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 15   |  | unit (forest)  |  Manual description here.  |
| {{:nations:ma:ind:orionde_warrior.png?30&nolink}}    | **Orionde Warrior**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 20   |  | unit (forest)  |  Manual description here.  |
| {{:nations:ma:ind:centaur_slave.png?30&nolink}}    | **Centaur Slave**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 4   |  | unit (forest)  |  Manual description here.  |
| {{:nations:ma:ind:centaur_chariot.png?30&nolink}}    | **Centaur Chariot**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 25   |  | unit (forest)  |  Manual description here.  |
| {{:nations:ma:ind:orionde_knight.png?30&nolink}}    | **Orionde Knight**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 41   |  | unit (forest)  |  Manual description here.  |
| {{:nations:ma:ind:cynocephalian_hunter.png?30&nolink}}    | **Cynocephalian Hunter**\ {{:misc:gui:gold.png?15&nolink}} 14\ {{:misc:gui:resources.png?15&nolink}} 5   |  | unit (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:cynocephalian_flesh-eater.png?30&nolink}}    | **Cynocephalian Flesh-Eater**\ {{:misc:gui:gold.png?15&nolink}} 18\ {{:misc:gui:resources.png?15&nolink}} 5   |  | unit (mountain)  |  Manual description here.  |
