
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:shinuyama:bakemono_scout_2.png?30&nolink}}    | **Bakemono Scout**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 5   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:shinuyama:bakemono_chief_2.png?30&nolink}}    | **Bakemono Chief**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 6   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:shinuyama:bakemono_shaman_2.png?30&nolink}}    | **Bakemono Shaman**\ {{:misc:gui:gold.png?15&nolink}} 80\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:ma:shinuyama:kappa_chief_2.png?30&nolink}}    | **Kappa Chief**\ {{:misc:gui:gold.png?15&nolink}} 50\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:ma:shinuyama:bakemono_scout.png?30&nolink}}    | **Bakemono Scout**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 5   |  | commander  |  Manual description here.  |
| {{:nations:ma:shinuyama:bakemono_chief.png?30&nolink}}    | **Bakemono Chief**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 6   |  | commander  |  Manual description here.  |
| {{:nations:ma:shinuyama:bandit_leader.png?30&nolink}}    | **Bandit Leader**\ {{:misc:gui:gold.png?15&nolink}} 45\ {{:misc:gui:resources.png?15&nolink}} 16   |  | commander  |  Manual description here.  |
| {{:nations:ma:shinuyama:kappa_chief.png?30&nolink}}    | **Kappa Chief**\ {{:misc:gui:gold.png?15&nolink}} 50\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:ma:shinuyama:bakemono_shaman.png?30&nolink}}    | **Bakemono Shaman**\ {{:misc:gui:gold.png?15&nolink}} 80\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:ma:shinuyama:bakemono_general.png?30&nolink}}    | **Bakemono General**\ {{:misc:gui:gold.png?15&nolink}} 85\ {{:misc:gui:resources.png?15&nolink}} 31   |  | commander  |  Manual description here.  |
| {{:nations:ma:shinuyama:noppera-bo.png?30&nolink}}    | **Noppera-bo**\ {{:misc:gui:gold.png?15&nolink}} 100\ {{:misc:gui:resources.png?15&nolink}} 5   |  | commander  |  Manual description here.  |
| {{:nations:ma:shinuyama:shuten-doji.png?30&nolink}}    | **Shuten-doji**\ {{:misc:gui:gold.png?15&nolink}} 100\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
