
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:vanarus:vanabog.png?30&nolink}}    | **Vanabog**\ {{:misc:gui:gold.png?15&nolink}} 335\ {{:misc:gui:resources.png?15&nolink}} 20   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:vanarus:vyedma.png?30&nolink}}    | **Vyedma**\ {{:misc:gui:gold.png?15&nolink}} 135\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:vanarus:vyedun.png?30&nolink}}    | **Vyedun**\ {{:misc:gui:gold.png?15&nolink}} 155\ {{:misc:gui:resources.png?15&nolink}} 2   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:vanarus:scout.png?30&nolink}}    | **Scout**\ {{:misc:gui:gold.png?15&nolink}} 25\ {{:misc:gui:resources.png?15&nolink}} 5   |  | commander  |  Manual description here.  |
| {{:nations:ma:vanarus:vanarusian_herse.png?30&nolink}}    | **Vanarusian Herse**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 22   |  | commander  |  Manual description here.  |
| {{:nations:ma:vanarus:vanarusian_gode.png?30&nolink}}    | **Vanarusian Gode**\ {{:misc:gui:gold.png?15&nolink}} 45\ {{:misc:gui:resources.png?15&nolink}} 3   |  | commander  |  Manual description here.  |
| {{:nations:ma:vanarus:vanarusian_jarl.png?30&nolink}}    | **Vanarusian Jarl**\ {{:misc:gui:gold.png?15&nolink}} 90\ {{:misc:gui:resources.png?15&nolink}} 13   |  | commander  |  Manual description here.  |
| {{:nations:ma:vanarus:chud_jarl.png?30&nolink}}    | **Chud Jarl**\ {{:misc:gui:gold.png?15&nolink}} 120\ {{:misc:gui:resources.png?15&nolink}} 13   |  | commander  |  Manual description here.  |
| {{:nations:ma:vanarus:vanarusian_sage.png?30&nolink}}    | **Vanarusian Sage**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 2   |  | commander  |  Manual description here.  |
| {{:nations:ma:vanarus:vanarusian_archer.png?30&nolink}}    | **Vanarusian Archer**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 5   |  | unit  |  Manual description here.  |
| {{:nations:ma:vanarus:vanarusian_huskarl.png?30&nolink}}    | **Vanarusian Huskarl**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 12   |  | unit  |  Manual description here.  |
