
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:xibalba:chak_muuch_assassin.png?30&nolink}}    | **Chak Muuch Assassin**\ {{:misc:gui:gold.png?15&nolink}} 115\ {{:misc:gui:resources.png?15&nolink}} 27   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:xibalba:camazotz_2.png?30&nolink}}    | **Camazotz**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:xibalba:bacab.png?30&nolink}}    | **Bacab**\ {{:misc:gui:gold.png?15&nolink}} 455\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:xibalba:zotz_batab_2.png?30&nolink}}    | **Zotz Batab**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 3   |  | cmdr (cave)  |  Manual description here.  |
| {{:nations:ma:xibalba:camazotz.png?30&nolink}}    | **Camazotz**\ {{:misc:gui:gold.png?15&nolink}} 165\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cave)  |  Manual description here.  |
| {{:nations:ma:xibalba:muuch_scout.png?30&nolink}}    | **Muuch Scout**\ {{:misc:gui:gold.png?15&nolink}} 25\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:xibalba:zotz_batab.png?30&nolink}}    | **Zotz Batab**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 3   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:xibalba:muuch_batab.png?30&nolink}}    | **Muuch Batab**\ {{:misc:gui:gold.png?15&nolink}} 45\ {{:misc:gui:resources.png?15&nolink}} 11   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:xibalba:way.png?30&nolink}}    | **Way**\ {{:misc:gui:gold.png?15&nolink}} 145\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (forest)  |  Manual description here.  |
| {{:nations:ma:xibalba:ah_ha'_2.png?30&nolink}}    | **Ah Ha'**\ {{:misc:gui:gold.png?15&nolink}} 100\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:ma:xibalba:muuch_ajaw_2.png?30&nolink}}    | **Muuch Ajaw**\ {{:misc:gui:gold.png?15&nolink}} 115\ {{:misc:gui:resources.png?15&nolink}} 38   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:ma:xibalba:muuch_k'uhul_2.png?30&nolink}}    | **Muuch K'uhul**\ {{:misc:gui:gold.png?15&nolink}} 290\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (u-water)  |  Manual description here.  |
| {{:nations:ma:xibalba:ah_itz.png?30&nolink}}    | **Ah Itz**\ {{:misc:gui:gold.png?15&nolink}} 65\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:ma:xibalba:ah_ha'.png?30&nolink}}    | **Ah Ha'**\ {{:misc:gui:gold.png?15&nolink}} 100\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
| {{:nations:ma:xibalba:muuch_ajaw.png?30&nolink}}    | **Muuch Ajaw**\ {{:misc:gui:gold.png?15&nolink}} 115\ {{:misc:gui:resources.png?15&nolink}} 38   |  | commander  |  Manual description here.  |
| {{:nations:ma:xibalba:muuch_k'uhul.png?30&nolink}}    | **Muuch K'uhul**\ {{:misc:gui:gold.png?15&nolink}} 290\ {{:misc:gui:resources.png?15&nolink}} 1   |  | commander  |  Manual description here.  |
